좋아요_수,글_내용
4,"2022 #베이징동계패럴림픽 개막 2022.3.4.(금) ~ 3.13.(일), 10일간"
17,"경기도 #코로나19 현황2022.3.3.(목) 0시 기준 현황──────────신규확진: 51,943명사망환자: 30명─… 더 보기"
17,2022년 경기형#예비사회적기업 참여자 모집 3월 10일까지! 
40,"경기도 #코로나19 현황2022.3.2.(수) 0시 기준 현황──────────신규확진: 68,623명사망환자: 19명─… 더 보기"
47,"경기도 #코로나19 현황2022.3.1.(화) 0시 기준 현황──────────신규확진: 39,213명사망환자: 27명─… 더 보기"
72,오늘은제103주년 삼일절입니다
73,3월 1일부터방역패스가 중단되고격리체계가 개편됩니다!
59,경기도 이건 몰랐지 이벤트 1탄#당첨자발표 
36,"경기도 #코로나19 현황2022.2.28.(월) 0시 기준 현황──────────신규확진: 37,258명사망환자: 23명─… 더 보기"
39,"경기도 #코로나19 현황2022.2.27.(일) 0시 기준 현황──────────신규확진: 46,801명사망환자: 8명─… 더 보기"
43,"경기도 #코로나19 현황2022.2.26.(토) 0시 기준 현황──────────신규확진: 48,150명사망환자: 27명─… 더 보기"
45,사계절 모두 다른 특색을 느낄 수 있는 #경기수목원 을 소개해 드립니다! 
46,"경기도 #코로나19 현황2022.2.25.(금) 0시 기준 현황──────────신규확진: 48,082명사망환자: 26명─… 더 보기"
59,"일반관리군, 진료가 필요할 때 이곳에 연락하세요!"
37,#가상화폐 #메타버스많이 들어는 봤지만잘 모르시겠죠?
27,"경기도 #코로나19 현황2022.2.24.(목) 0시 기준 현황──────────신규확진: 51,320명사망환자: 18명─… 더 보기"
56,#경기도밤하늘 로별 보러 갈래...?
52,"경기도 #코로나19 현황2022.2.23.(수) 0시 기준 현황──────────신규확진: 53,532명사망환자: 26명─… 더 보기"
99,무료교육 취업연계 교육훈련지원금
